      1    0.24757E-06    0.45475E-05    0.88846E-01   -0.16540E+02
      2    0.36714E-06    0.42407E-05    0.78263E-01   -0.16690E+02
      3    0.15392E-06    0.54601E-05    0.10212E+00   -0.15421E+02
      4    0.17030E-06    0.60956E-05    0.12123E+00   -0.14477E+02
      5    0.22675E-06    0.58223E-05    0.11480E+00   -0.12788E+02
      6    0.21716E-06    0.55169E-05    0.11670E+00   -0.11838E+02
      7    0.35172E-06    0.37965E-05    0.77577E-01   -0.11797E+02
      8    0.25614E-06    0.49426E-05    0.93983E-01   -0.10497E+02
      9    0.33985E-06    0.82646E-05    0.17523E+00   -0.92157E+01
     10    0.24977E-06    0.54815E-05    0.11684E+00   -0.98911E+01
     11    0.28921E-06    0.43203E-05    0.86077E-01   -0.12714E+02
     12    0.12633E-06    0.56109E-05    0.12021E+00   -0.13815E+02
     13    0.21208E-06    0.29518E-05    0.61766E-01   -0.14564E+02
     14    0.26962E-06    0.34215E-05    0.69852E-01   -0.14276E+02
     15    0.33595E-06    0.33057E-05    0.69205E-01   -0.15029E+02
     16    0.26904E-06    0.23472E-05    0.46495E-01   -0.16827E+02
     17    0.55308E-06    0.32160E-05    0.59175E-01   -0.16757E+02
     18    0.21554E-06    0.42012E-05    0.81540E-01   -0.16854E+02
     19    0.35326E-06    0.30327E-05    0.58460E-01   -0.16596E+02
     20    0.19336E-06    0.32533E-05    0.62705E-01   -0.16608E+02
     21    0.28552E-06    0.28853E-05    0.54208E-01   -0.16160E+02
     22    0.25706E-06    0.32541E-05    0.60159E-01   -0.16112E+02
     23    0.86799E-07    0.34832E-05    0.65364E-01   -0.15947E+02
     24    0.29009E-06    0.29455E-05    0.55824E-01   -0.15924E+02
     25    0.87062E-07    0.30463E-05    0.59982E-01   -0.16288E+02
     26    0.14707E-06    0.24744E-05    0.49826E-01   -0.16700E+02
     27    0.26444E-06    0.18989E-05    0.37774E-01   -0.17754E+02
     28    0.22908E-06    0.20895E-05    0.39692E-01   -0.19055E+02
     29    0.28794E-06    0.19834E-05    0.37133E-01   -0.20341E+02
     30    0.27217E-06    0.20901E-05    0.36403E-01   -0.19932E+02
     31    0.43439E-06    0.23296E-05    0.38163E-01   -0.18521E+02
     32    0.31689E-06    0.22459E-05    0.36195E-01   -0.17169E+02
     33    0.26663E-06    0.24201E-05    0.36157E-01   -0.16300E+02
     34    0.28644E-06    0.32870E-05    0.55458E-01   -0.15235E+02
     35    0.37219E-06    0.26985E-05    0.48058E-01   -0.15042E+02
     36    0.32440E-06    0.21055E-05    0.38411E-01   -0.15952E+02
     37    0.23347E-06    0.17446E-05    0.30504E-01   -0.20400E+02
     38    0.35308E-06    0.23443E-05    0.41782E-01   -0.23113E+02
     39    0.35233E-06    0.20691E-05    0.38563E-01   -0.26779E+02
     40    0.28394E-06    0.25171E-05    0.41890E-01   -0.26401E+02
     41    0.22394E-06    0.33431E-05    0.51465E-01   -0.20760E+02
     42    0.34535E-06    0.33756E-05    0.50171E-01   -0.17182E+02
     43    0.41352E-06    0.31266E-05    0.45867E-01   -0.14421E+02
     44    0.40619E-06    0.41823E-05    0.66171E-01   -0.12969E+02
     45    0.45925E-06    0.43988E-05    0.73227E-01   -0.11933E+02
     46    0.24353E-06    0.47638E-05    0.68083E-01   -0.11087E+02
     47    0.38483E-06    0.39707E-05    0.59097E-01   -0.10100E+02
